SONAVORM,Votmesus,P-vaartus,Fookus suhteline sagedus,Referents suhteline sagedus
jõukuseunelm,7654.235465656825,0.0,8.100511142253076e-06,0.0
kirjeldusstrateegia,7654.235465656825,0.0,8.100511142253076e-06,0.0
riigikukrut,7654.235465656825,0.0,8.100511142253076e-06,0.0
nädalakommentaator,7654.235465656825,0.0,8.100511142253076e-06,0.0
sõkeldest,7654.235465656825,0.0,8.100511142253076e-06,0.0
unean,7654.235465656825,0.0,8.100511142253076e-06,0.0
katedraalivõlvi,7654.235465656825,0.0,8.100511142253076e-06,0.0
maalipannoo,7654.235465656825,0.0,8.100511142253076e-06,0.0
kasvuvaenulikkuse,7654.235465656825,0.0,8.100511142253076e-06,0.0
unarkirjanikust,7654.235465656825,0.0,8.100511142253076e-06,0.0
kasvusõbralikuma,7654.235465656825,0.0,8.100511142253076e-06,0.0
maalikunstiteooria,7654.235465656825,0.0,8.100511142253076e-06,0.0
maidani-järgselt,7654.235465656825,0.0,8.100511142253076e-06,0.0
maapähklifarmer,7654.235465656825,0.0,8.100511142253076e-06,0.0
sõjaõhutajatel,7654.235465656825,0.0,8.100511142253076e-06,0.0
katlakütus,7654.235465656825,0.0,8.100511142253076e-06,0.0
omakasutaotluseta,7654.235465656825,0.0,8.100511142253076e-06,0.0
maavalitsueed,7654.235465656825,0.0,8.100511142253076e-06,0.0
keeleilmaga,7654.235465656825,0.0,8.100511142253076e-06,0.0
katusesarikatest,7654.235465656825,0.0,8.100511142253076e-06,0.0
omanikuasustusega,7654.235465656825,0.0,8.100511142253076e-06,0.0
sõjasarnases,7654.235465656825,0.0,8.100511142253076e-06,0.0
keskkooliklassile,7654.235465656825,0.0,8.100511142253076e-06,0.0
näilikugi,7654.235465656825,0.0,8.100511142253076e-06,0.0
kenningtoni,7654.235465656825,0.0,8.100511142253076e-06,0.0
sõnaandmine,7654.235465656825,0.0,8.100511142253076e-06,0.0
ukraina-artiklite,7654.235465656825,0.0,8.100511142253076e-06,0.0
uisureklaami,7654.235465656825,0.0,8.100511142253076e-06,0.0
immigrantidevaenuliku,7654.235465656825,0.0,8.100511142253076e-06,0.0
rigiduumale,7654.235465656825,0.0,8.100511142253076e-06,0.0
keskjuhtimiseta,7654.235465656825,0.0,8.100511142253076e-06,0.0
keräineni,7654.235465656825,0.0,8.100511142253076e-06,0.0
näiteseltskonnalt,7654.235465656825,0.0,8.100511142253076e-06,0.0
hädakägarad,7654.235465656825,0.0,8.100511142253076e-06,0.0
sõnasaanu,7654.235465656825,0.0,8.100511142253076e-06,0.0
härdumuspisara,7654.235465656825,0.0,8.100511142253076e-06,0.0
kauplemispiiranguteta,7654.235465656825,0.0,8.100511142253076e-06,0.0
keelan-käsen,7654.235465656825,0.0,8.100511142253076e-06,0.0
umbahtraks,7654.235465656825,0.0,8.100511142253076e-06,0.0
pesunäpitsast,7654.235465656825,0.0,8.100511142253076e-06,0.0
udukirjanduse,7654.235465656825,0.0,8.100511142253076e-06,0.0
pervogo,7654.235465656825,0.0,8.100511142253076e-06,0.0
tšurjumov-gerasimenko,7654.235465656825,0.0,8.100511142253076e-06,0.0
kinniehitajaid,7654.235465656825,0.0,8.100511142253076e-06,0.0
kinnisvarakuludena,7654.235465656825,0.0,8.100511142253076e-06,0.0
pešmerga-sõdalastel,7654.235465656825,0.0,8.100511142253076e-06,0.0
petuseadusele,7654.235465656825,0.0,8.100511142253076e-06,0.0
tülialused,7654.235465656825,0.0,8.100511142253076e-06,0.0
kingimakse,7654.235465656825,0.0,8.100511142253076e-06,0.0
pettumusevirvet,7654.235465656825,0.0,8.100511142253076e-06,0.0
reprodutseerimistööd,7654.235465656825,0.0,8.100511142253076e-06,0.0
representatsioonivõime,7654.235465656825,0.0,8.100511142253076e-06,0.0
saalitöö,7654.235465656825,0.0,8.100511142253076e-06,0.0
tüvinarratiivi,7654.235465656825,0.0,8.100511142253076e-06,0.0
maailmaparandustuhin,7654.235465656825,0.0,8.100511142253076e-06,0.0
maastikupõhine,7654.235465656825,0.0,8.100511142253076e-06,0.0
kodiftseerimine,7654.235465656825,0.0,8.100511142253076e-06,0.0
kodukorrajärgset,7654.235465656825,0.0,8.100511142253076e-06,0.0
kobarvolikogude,7654.235465656825,0.0,8.100511142253076e-06,0.0
reporteriametile,7654.235465656825,0.0,8.100511142253076e-06,0.0
väliskaubaveost,7654.235465656825,0.0,8.100511142253076e-06,0.0
okupandi-kolonisti,7654.235465656825,0.0,8.100511142253076e-06,0.0
klaviatuurisõduritele,7654.235465656825,0.0,8.100511142253076e-06,0.0
okeaanilises,7654.235465656825,0.0,8.100511142253076e-06,0.0
klubi-kooli-seltsi,7654.235465656825,0.0,8.100511142253076e-06,0.0
remondikomponent,7654.235465656825,0.0,8.100511142253076e-06,0.0
klassikümblus,7654.235465656825,0.0,8.100511142253076e-06,0.0
klaaskontoritest,7654.235465656825,0.0,8.100511142253076e-06,0.0
sõjaväekasarmutel,7654.235465656825,0.0,8.100511142253076e-06,0.0
nüüdisriikides,7654.235465656825,0.0,8.100511142253076e-06,0.0
luurekeele,7654.235465656825,0.0,8.100511142253076e-06,0.0
throut,7654.235465656825,0.0,8.100511142253076e-06,0.0
imax-tehnoloogiaga,7654.235465656825,0.0,8.100511142253076e-06,0.0
sallivushääletuseks,7654.235465656825,0.0,8.100511142253076e-06,0.0
selgrookasvatust,7654.235465656825,0.0,8.100511142253076e-06,0.0
reitingupõhine,7654.235465656825,0.0,8.100511142253076e-06,0.0
varjendeidki,7654.235465656825,0.0,8.100511142253076e-06,0.0
separatismiseemnetel,7654.235465656825,0.0,8.100511142253076e-06,0.0
septemberusa,7654.235465656825,0.0,8.100511142253076e-06,0.0
kriitikasahmakad,7654.235465656825,0.0,8.100511142253076e-06,0.0
septembrivihmas,7654.235465656825,0.0,8.100511142253076e-06,0.0
varjamisnarratiivi,7654.235465656825,0.0,8.100511142253076e-06,0.0
krimmi-laadse,7654.235465656825,0.0,8.100511142253076e-06,0.0
kõhuelustik,7654.235465656825,0.0,8.100511142253076e-06,0.0
kõhuelustiku,7654.235465656825,0.0,8.100511142253076e-06,0.0
kõhuelustikuga,7654.235465656825,0.0,8.100511142253076e-06,0.0
kõhukaudne,7654.235465656825,0.0,8.100511142253076e-06,0.0
kõhukoosluse,7654.235465656825,0.0,8.100511142253076e-06,0.0
teravamakeelsem,7654.235465656825,0.0,8.100511142253076e-06,0.0
sauagi,7654.235465656825,0.0,8.100511142253076e-06,0.0
koolikiusamisevastase,7654.235465656825,0.0,8.100511142253076e-06,0.0
kommunistiliku,7654.235465656825,0.0,8.100511142253076e-06,0.0
teleuudisteprogrammi,7654.235465656825,0.0,8.100511142253076e-06,0.0
veitmaniga,7654.235465656825,0.0,8.100511142253076e-06,0.0
kollimask,7654.235465656825,0.0,8.100511142253076e-06,0.0
vasturelvadest,7654.235465656825,0.0,8.100511142253076e-06,0.0
kolmetahulisest,7654.235465656825,0.0,8.100511142253076e-06,0.0
kommunisti-aktivisti,7654.235465656825,0.0,8.100511142253076e-06,0.0
kommertsihõngulistes,7654.235465656825,0.0,8.100511142253076e-06,0.0
vayan,7654.235465656825,0.0,8.100511142253076e-06,0.0
kommertslavastuse,7654.235465656825,0.0,8.100511142253076e-06,0.0
kriisilisel,7654.235465656825,0.0,8.100511142253076e-06,0.0
turuhallile,7654.235465656825,0.0,8.100511142253076e-06,0.0
veenmisvahendina,7654.235465656825,0.0,8.100511142253076e-06,0.0
sanktsiooniveskite,7654.235465656825,0.0,8.100511142253076e-06,0.0
veatuvastussüsteem,7654.235465656825,0.0,8.100511142253076e-06,0.0
vastuluureasutuste,7654.235465656825,0.0,8.100511142253076e-06,0.0
seitsme-kaheksalapselise,7654.235465656825,0.0,8.100511142253076e-06,0.0
vastuluureasutust,7654.235465656825,0.0,8.100511142253076e-06,0.0
uurimuslikuma,7654.235465656825,0.0,8.100511142253076e-06,0.0
kraasidest,7654.235465656825,0.0,8.100511142253076e-06,0.0
käiguvahetusoskus,7654.235465656825,0.0,8.100511142253076e-06,0.0
ravilaenu,7654.235465656825,0.0,8.100511142253076e-06,0.0
teemapoodi,7654.235465656825,0.0,8.100511142253076e-06,0.0
suurbritannia-suurune,7654.235465656825,0.0,8.100511142253076e-06,0.0
täiemõõtmelisse,7654.235465656825,0.0,8.100511142253076e-06,0.0
käitumishoiakutel,7654.235465656825,0.0,8.100511142253076e-06,0.0
selfie-made,7654.235465656825,0.0,8.100511142253076e-06,0.0
teenustepagas,7654.235465656825,0.0,8.100511142253076e-06,0.0
recuperada,7654.235465656825,0.0,8.100511142253076e-06,0.0
vennastutaks,7654.235465656825,0.0,8.100511142253076e-06,0.0
tuttuuega,7654.235465656825,0.0,8.100511142253076e-06,0.0
sula-aastad,7654.235465656825,0.0,8.100511142253076e-06,0.0
tehke-viige,7654.235465656825,0.0,8.100511142253076e-06,0.0
uueaegsemas,7654.235465656825,0.0,8.100511142253076e-06,0.0
reeglipäraks,7654.235465656825,0.0,8.100511142253076e-06,0.0
teemaplatvormidele,7654.235465656825,0.0,8.100511142253076e-06,0.0
tegeldamatuga,7654.235465656825,0.0,8.100511142253076e-06,0.0
käitumiskorduste,7654.235465656825,0.0,8.100511142253076e-06,0.0
uustõsiduse,7654.235465656825,0.0,8.100511142253076e-06,0.0
tegelikkusekäsitluste,7654.235465656825,0.0,8.100511142253076e-06,0.0
korwin-mikket,7654.235465656825,0.0,8.100511142253076e-06,0.0
uustraditsionalism,7654.235465656825,0.0,8.100511142253076e-06,0.0
uuspoliitikutega,7654.235465656825,0.0,8.100511142253076e-06,0.0
uuskogukondlikkuse,7654.235465656825,0.0,8.100511142253076e-06,0.0
soolestikuelustik,7654.235465656825,0.0,8.100511142253076e-06,0.0
käendataks,7654.235465656825,0.0,8.100511142253076e-06,0.0
kraijna,7654.235465656825,0.0,8.100511142253076e-06,0.0
seksuaalvähemuslus-alase,7654.235465656825,0.0,8.100511142253076e-06,0.0
seksuaaltavasid,7654.235465656825,0.0,8.100511142253076e-06,0.0
kriitiliseim,7654.235465656825,0.0,8.100511142253076e-06,0.0
telejutlustega,7654.235465656825,0.0,8.100511142253076e-06,0.0
segadusseviimine,7654.235465656825,0.0,8.100511142253076e-06,0.0
reklaamplakatiteta,7654.235465656825,0.0,8.100511142253076e-06,0.0
vandenõuparanoiast,7654.235465656825,0.0,8.100511142253076e-06,0.0
vapiseina,7654.235465656825,0.0,8.100511142253076e-06,0.0
vangistatutelt,7654.235465656825,0.0,8.100511142253076e-06,0.0
vandenõuteemadega,7654.235465656825,0.0,8.100511142253076e-06,0.0
vandenõuromaanist,7654.235465656825,0.0,8.100511142253076e-06,0.0
